cours,date_opr,date_valeur,Reg_Status,Reg_Montant,Reg_Devise_Cours,Piece,Tiers_RS,Nature,Type
1.0,2025-05-28 00:00:00,2025-05-28 00:00:00,17,65.323,1.0,RFP250376,BANQUE ZITOUNA,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-25 00:00:00,2025-05-25 00:00:00,3,2691.483,1.0,RF21Tr798,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-25 00:00:00,2025-05-25 00:00:00,3,63.18,1.0,RF21Tr846,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-25 00:00:00,2025-05-25 00:00:00,3,523.386,1.0,RF21Tr894,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,2323.864,1.0,RF22Tr0431,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,255.72,1.0,RF22Tr0479,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,490.121,1.0,RF22Tr0527,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-25 00:00:00,2025-05-25 00:00:00,17,1951.283,1.0,RFP250504,cil,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-25 00:00:00,2025-05-25 00:00:00,17,1869.33,1.0,RFP250563,CIL,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-25 00:00:00,2025-05-25 00:00:00,17,725.916,1.0,RFP250622,CIL,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,17,2594.143,1.0,RFP250680,cil,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,17,2547.62,1.0,RFP250739,CIL,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,17,976.935,1.0,RFP250798,CIL,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,6074.151,1.0,RFP230228,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,1615.457,1.0,RFP230276,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,2428.255,1.0,RFP230324,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,3037.076,1.0,RFP230372,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,1214.133,1.0,RFP230420,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,807.73,1.0,RFP230468,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-25 00:00:00,2025-05-25 00:00:00,3,1344.027,1.0,RF22Tr0623,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-25 00:00:00,2025-05-25 00:00:00,3,182.917,1.0,RF22Tr0671,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-25 00:00:00,2025-05-25 00:00:00,3,290.119,1.0,RF22Tr0720,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,3384.866,1.0,RF23Tr0274,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,1023.734,1.0,RF23Tr0322,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,837.634,1.0,RF23Tr0370,C I L,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-12 12:00:00,2025-05-12 12:00:00,17,11913.0,1.0,RF24Tr0204,ASSURANCE CARTE,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-16 12:00:00,2025-05-16 12:00:00,17,11913.0,1.0,RF24Tr0205,ASSURANCE CARTE,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-22 12:00:00,2025-05-22 12:00:00,17,11913.0,1.0,RF24Tr0206,ASSURANCE CARTE,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-28 12:00:00,2025-05-28 12:00:00,17,11913.0,1.0,RF24Tr0207,ASSURANCE CARTE,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,4,5579.006,1.0,RF25Tr0363,BEST PAINT,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,4,11988.238,1.0,RF25Tr0133,CNA,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 00:00:00,2025-05-15 00:00:00,4,10000.0,1.0,RF24Tr0294,CGEM,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,4,9254.667,1.0,RF24Tr0295,CGEM,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-06 12:00:00,2025-05-06 12:00:00,3,2638.0,1.0,RF25Vi0537,EL HANA,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,17,8140.0,1.0,RF25Tr0079,GLOBAL ACIER,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,17,8146.0,1.0,RF25Tr0081,GLOBAL ACIER,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-05 12:00:00,2025-05-05 12:00:00,3,450.82,1.0,RF25Vi0533,HRS Hydraulic Repair Shop,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-12 00:00:00,2025-05-12 00:00:00,3,5000.0,1.0,RF25Vi0555,EPPCOS,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-12 00:00:00,2025-05-12 00:00:00,3,5000.0,1.0,RF25Vi0556,EPPCOS,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,17,20302.0,1.0,RF25Tr0006,EPPCOS,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,17,20302.0,1.0,RF25Tr0007,EPPCOS,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,17,20302.0,1.0,RF25Tr0008,EPPCOS,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 00:00:00,2025-05-15 00:00:00,17,15076.824,1.0,RF25Tr0013,EPPCOS,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,17,4426.528,1.0,RF25Tr0102, KALLEL LASSAAD,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,17,5155.0,1.0,RF25Tr0103, KALLEL LASSAAD,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,17,5155.742,1.0,RF25Tr0104, KALLEL LASSAAD,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 00:00:00,2025-05-15 00:00:00,17,3602.616,1.0,RF25Tr0091,LE RECORD ,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-05 12:00:00,2025-05-05 12:00:00,3,1584.298,1.0,RF25Vi0534,Loyer Med Mkawer,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-09 00:00:00,2025-05-09 00:00:00,3,30000.0,1.0,RF25Vi0548,Lac Metal ,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,4,10000.0,1.0,RF25Tr0070,MEDIA TECHNOLOGY SERVICE,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-09 12:00:00,2025-05-09 12:00:00,3,7348.5,1.0,RF25Vi0549,MSGI,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 12:00:00,2025-05-15 12:00:00,17,7892.902,1.0,RF25Tr0038,MAISON DU BOIS DU SUD,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 12:00:00,2025-05-15 12:00:00,17,7667.0,1.0,RF25Tr0043,MAISON DU BOIS DU SUD,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,17,12883.107,1.0,RF25Tr0045,MAISON DU BOIS DU SUD,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-09 00:00:00,2025-05-09 00:00:00,3,80000.0,1.0,ACC25Vi150,MAS METAL -  Compte Courant,Retrait Inter Banque Par Virement,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 00:00:00,2025-05-15 00:00:00,17,12500.0,1.0,RF24Tr0288,MIRFAK TRAVEL,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,4,3512.718,1.0,RF25Tr0060,NOUREDDINE LOUATI,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-09 00:00:00,2025-05-09 00:00:00,3,3000.0,1.0,RF25Vi0552,New Engineering IT,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,4,7984.0,1.0,RF25Tr0352,SIGMA CONSULTING,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,17,9697.09,1.0,RF24Tr0230,SIGMA CONSULTING,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,17,13275.42,1.0,RF24Tr0232,SIGMA CONSULTING,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,17,8370.615,1.0,RF24Tr0233,SIGMA CONSULTING,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-12 00:00:00,2025-05-12 00:00:00,3,2881.0,1.0,RF25Vi0557,STE NATIONAL DE DISTRIBUTION PETROL,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,17,99839.0,1.0,RF25Tr0131,SOVEP,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-05 12:00:00,2025-05-05 12:00:00,3,161.602,1.0,RF25Vi0530,EMG ETS MED GHORBEL,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-09 12:00:00,2025-05-09 12:00:00,3,2055.462,1.0,RF25Vi0547,PLUXEE,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 12:00:00,2025-05-15 12:00:00,17,4104.124,1.0,RF25Tr0048,STC VERITAS,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,17,9236.0,1.0,RF24Tr0257,STE SIDAR,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 00:00:00,2025-05-15 00:00:00,17,9236.0,1.0,RF24Tr0258,STE SIDAR,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 00:00:00,2025-05-15 00:00:00,17,9236.0,1.0,RF24Tr0259,STE SIDAR,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 12:00:00,2025-05-15 12:00:00,4,4410.0,1.0,RF25Tr0052,SOUIDI AMEUR BEN HAMMOUDA ,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 12:00:00,2025-05-15 12:00:00,4,4411.201,1.0,RF25Tr0053,SOUIDI AMEUR BEN HAMMOUDA ,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,17,4641.536,1.0,RF25Tr0090,STE PROLAQUAGE PLUS,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-12 00:00:00,2025-05-12 00:00:00,3,1135.303,1.0,RF25Vi0484,STE HAKIM DE SERVICES MECANIQUES,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 12:00:00,2025-05-15 12:00:00,4,8153.277,1.0,RF25Vi0245,STE PARROT PLASTICS,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-05 12:00:00,2025-05-05 12:00:00,3,304.174,1.0,RF25Vi0532,STE GREMDA SERVICE AUTO,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-06 00:00:00,2025-05-06 00:00:00,3,18000.0,1.0,RF25Vi0538,STE S3P DISTRUBITION TUNISIE,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,17,3676.0,1.0,RF25Tr0074,TOUMED,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,17,3676.344,1.0,RF25Tr0078,TOUMED,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-15 00:00:00,2025-05-15 00:00:00,17,4451.0,1.0,RF24Tr0298,ZAYDI THAMEUR,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
1.0,2025-05-06 12:00:00,2025-05-06 12:00:00,3,0.0,1.0,RF25Vi0539,AGENCE AFRICAINE DE CONSIGNATION ET DE COMMERCE A.A.C.C,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-05 12:00:00,2025-05-05 12:00:00,3,1294.102,1.0,RF25Vi0529,CSA TUNISIE SARL,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-09 00:00:00,2025-05-09 00:00:00,3,1239.259,1.0,RF25Vi0546,CCIS,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-07 12:00:00,2025-05-07 12:00:00,4,6387.441,1.0,RF25Ch0053,RECEVEUR DE DOUANE,Réglement Fournisseur Chèque,FOURNISSEUR HORS GROUPE
1.0,2025-05-09 00:00:00,2025-05-09 00:00:00,3,479.52,1.0,RF25Vi0531,EXPRESS LOGISTIC UPS,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-05 12:00:00,2025-05-05 12:00:00,3,2320.6,1.0,RF25Vi0535,GTI,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-09 00:00:00,2025-05-09 00:00:00,3,1000.0,1.0,RF25Vi0540,MAERSK LOGISTICS AND SERVICES TUNISIA,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-09 00:00:00,2025-05-09 00:00:00,3,484.15,1.0,RF25Vi0541,MAERSK LOGISTICS AND SERVICES TUNISIA,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-07 12:00:00,2025-05-07 12:00:00,3,4357.694,1.0,RF25Vi0542,NAFSHIP,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-12 12:00:00,2025-05-12 12:00:00,3,2718.579,1.0,RF25Vi0558,TRANSGLORY TUNISIE,Réglement Fournisseur Virement Local,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 12:00:00,2025-05-30 12:00:00,4,9280.0,1.0,RF25Tr0364,TRANSGLORY TUNISIE,Réglement Fournisseur Traite,FOURNISSEUR HORS GROUPE
3.371,2025-05-09 00:00:00,2025-05-09 00:00:00,3,1200.0,3.3794,ACC25Es018,ALIMENTATION CAISSE,Retrait Banque Par Espece,FOURNISSEUR HORS GROUPE
3.371,2025-05-09 00:00:00,2025-05-09 00:00:00,3,120000.0,3.34,ACC25Vi148,ALIMENTATION CAISSE,Retrait Inter Banque Par Virement,FOURNISSEUR HORS GROUPE
3.371,2025-05-08 00:00:00,2025-05-08 00:00:00,3,8.66,3.356928,ACC25Vi149,ALIMENTATION CAISSE,Retrait Inter Banque Par Virement,FOURNISSEUR HORS GROUPE
3.371,2025-05-12 00:00:00,2025-05-12 00:00:00,3,2500.0,3.2314,ACC25Vi151,ALIMENTATION CAISSE,Retrait Inter Banque Par Virement,FOURNISSEUR HORS GROUPE
